model_type,metric,n,mean,std,median,q25,q75,p95
CNN-Pair,motif_vs_background_absolute,600,13.358424171182651,1.2476254625686123,13.486885918924836,12.844822880399475,14.08133982164161,14.56542587227301
CNN-Pair,position_auprc_signed,600,0.9970538689932072,0.04220451790359989,1.0,1.0,1.0,1.0
CNN-Pair,position_auprc_absolute,600,0.9969884595180648,0.04323973227864616,1.0,1.0,1.0,1.0
CNN-Raw,motif_start,600,46.95,27.456947632408355,45.0,23.75,74.25,88.0
CNN-Raw,motif_end,600,54.95,27.456947632408355,53.0,31.75,82.25,96.0
CNN-Raw,prediction_difference,600,0.0007685424884159931,0.000853422776128019,0.0004836320877075,0.00019066035747525,0.0010433942079544,0.002578940987586884
CNN-Raw,prediction_consistency,600,0.9992314575115839,0.000853422776128023,0.9995163679122926,0.9989566057920456,0.9998093396425247,0.9999691367149353
CNN-Raw,attribution_pearson_signed,600,0.9977835943885214,0.0035535853043880666,0.9980936609671767,0.9975659879088906,0.9986189396456112,0.999083813166986
CNN-Raw,attribution_pearson_absolute,600,0.9979804787927494,0.0029568383819188514,0.9982472715473087,0.9977132847172392,0.9987550215536254,0.9992524229043087
CNN-Raw,attribution_spearman_signed,600,0.5110702514287924,0.10476371910866215,0.5186212010319264,0.439188952354478,0.5932043890409521,0.6673252443602969
CNN-Raw,attribution_spearman_absolute,600,0.6484438891719083,0.1188892077004716,0.6679775951417493,0.575450933713689,0.7309899149435172,0.8203765554583019
CNN-Raw,attribution_cosine_signed,600,0.9979462534038434,0.0032904374623021243,0.9982364625699465,0.9977482043977421,0.9987153357264754,0.9991466035397096
CNN-Raw,attribution_cosine_absolute,600,0.9981661448639866,0.0024602372554400525,0.9983933880987086,0.9979101918797626,0.9988621575245855,0.9993170639342998
CNN-Raw,attribution_top8_overlap,600,1.0,0.0,1.0,1.0,1.0,1.0
CNN-Raw,attribution_full_matrix_pearson,600,0.9962255739627737,0.004420553306280613,0.9967063312357975,0.9958641482427708,0.9973567951564336,0.9978990701055319
CNN-Raw,attribution_std_absolute,600,3.339286387960116,0.28704740806841167,3.3798636198043823,3.2578494548797607,3.491919875144958,3.6114650607109064
CNN-Raw,motif_top8_overlap_signed,600,0.995,0.07059253153968889,1.0,1.0,1.0,1.0
CNN-Raw,motif_mass_fraction_signed,600,0.9516339195965157,0.05222374702588908,0.9560569944000408,0.9500873857353204,0.9615160339043146,0.9688658446139461
CNN-Raw,motif_vs_background_signed,600,12.181317705402568,1.127039711767483,12.336669605549108,11.890055105049768,12.74485624181477,13.184847692928809
CNN-Raw,motif_top8_overlap_absolute,600,0.995,0.07059253153968889,1.0,1.0,1.0,1.0
CNN-Raw,motif_mass_fraction_absolute,600,0.9433082042398934,0.05200083603180416,0.9479171545994782,0.9411580599694692,0.9532285834265812,0.9600984896494156
CNN-Raw,motif_vs_background_absolute,600,12.122522007831472,1.1276035960952042,12.276030428783937,11.838261185026587,12.686972554855917,13.116208220201601
CNN-Raw,position_auprc_signed,600,0.9966732836199748,0.04696891749746722,1.0,1.0,1.0,1.0
CNN-Raw,position_auprc_absolute,600,0.9966372955747956,0.04748622502859839,1.0,1.0,1.0,1.0
